Gene	D1_Control.	D2_Control.	D3_Control.	D4_Control.	D5.ntr	D6_Control.	D1_Treated.	D2_Treated.	D3_Treated.	D4_Treated.	D5_Treated.	D6_Treated.
Golga4	2489.6746	1759.1527	2285.5268	2162.6843	2235.4432999999999	2308.2023	2410.7032	2185.6664	2170.9227	2345.2053	2270.5112	2597.4533
Golga5	805.6697	765.0896	878.0362	798.1194	840.3732	882.627	734.1224	717.7594	791.9998	827.2339	798.7878	852.8606
Golga7	943.1177	965.7528	847.5497	856.9055	785.93584999999996	714.9662	828.3758	841.2978	838.8764	833.638	881.8385	687.4782
Golga7b	1.2876	0.7579	9.8421	6.718	21.426949999999998	36.1359	0.0	2.5184	2.904	6.3539	27.8142	19.1792
Golgb1	2481.7511	1760.0253	2584.786	2346.6774	2523.6320500000002	2700.5867	2472.8949	2275.5558	2372.0985	2434.9746	2242.068	3133.6136
Golim4	1210.2704	886.5909	1592.9913	1557.9528	1715.34475	1872.7367	1197.7754	1329.3141	1440.4457	1559.2021	1500.2171	2024.959
Golm1	2153.2034	1806.3161	1632.4007	1315.9517	1300.8959	1285.8401	2002.6756	1806.9127	1685.5729	1345.7049	1152.6055	1000.8641
Golph3	1556.8196	1663.3515	1662.8406	1623.4941	1793.2833000000001	1963.0725	1591.7229	1689.0285	1606.4609	1593.9828	1855.059	2028.754
Golph3l	687.5024	803.3167	689.8551	615.7849	664.28420000000006	712.7835	775.6189	731.4322	754.8955	686.1415	665.8842	653.4343
Golt1a	0.0152	0.8961	0.9041	0.0	0.0043499999999999997	0.0087	0.0	0.7138	0.0	1.8824	0.0203	1.488
Golt1b	1043.2005	1302.1471	1128.8641	1146.5051	1232.2651500000002	1318.0252	1144.0854	1122.4268	1101.5722	1174.4312	1233.1448	1000.468
Gon4l	1819.1447	1347.3676	1458.5944	1270.8402	1124.6141500000001	978.3881	1718.0609	1558.566	1451.1933	1295.3386	1178.6577	1022.6867
Gopc	514.8245	505.8749	655.8427	570.6701	585.28650000000005	599.9029	589.0007	587.2376	661.1462	629.3609	625.4802	696.9754
Gorab	478.3693	514.8596	447.0706	425.8767	442.46585000000005	459.055	425.9629	445.9863	431.6437	394.8078	381.0686	396.2344
Gorasp1	371.5628	357.7059	366.4469	436.222	343.92584999999997	251.6297	331.7187	369.671	318.3565	404.0319	391.614	203.8591
